Started Log File:     logs/MMTK 2022-09-18 21-41-33-COM6.txt
Data Source:     COM6

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.40	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.40	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-0.07	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.08	100	3	0	0	0	12.48	1	1	1	1	1	
